State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,09:00,Platinum,150₹,54,0
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,09:00,Gold,120₹,33,0
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,09:00,Silver,100₹,11,0
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,09:00,Platinum,150₹,54,0
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,09:00,Gold,120₹,33,0
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,09:00,Silver,100₹,11,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,09:00,UpperSliderSofa,150₹,25,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,09:00,MiddleSliderSofa,120₹,22,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,09:00,Lounger,80₹,7,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:30,Recliner,350₹,100,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:30,Sofa,150₹,100,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:30,Platinum,100₹,100,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,09:30,Gold,100₹,100,0
Gujarat,Petlad,TheLuxCinema,Gujarati,09:30,Platinum,130₹,100,0
Gujarat,Petlad,TheLuxCinema,Gujarati,09:30,Gold,100₹,100,0
Gujarat,Anand,DiyaCinema100FeetRoad,Gujarati,10:00,Sofa,200₹,100,0
Gujarat,Anand,DiyaCinema100FeetRoad,Gujarati,10:00,Platinum,100₹,100,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Gujarati,10:00,VipClub,250₹,10,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Gujarati,10:00,Premium,250₹,10,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Gujarati,10:00,VipClub,250₹,10,0
Gujarat,Ahmedabad,NewfangledMiniplexMondealRetailParkAhmedabad,Gujarati,10:00,Premium,250₹,10,0
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,11:20,Platinum,300₹,96,10
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,11:20,Gold,100₹,96,10
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,11:20,Silver,100₹,96,10
Gujarat,Ahmedabad,SaneliteCinemasScienceCity,Gujarati,11:30,Miller,150₹,38,0
Gujarat,Ahmedabad,SaneliteCinemasScienceCity,Gujarati,11:30,Lounger,150₹,9,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,11:30,UpperSliderSofa,200₹,25,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,11:30,MiddleSliderSofa,150₹,22,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,11:30,Lounger,100₹,7,0
Gujarat,Ahmedabad,CityGoldSatellite,Gujarati,11:45,Executive,170₹,124,0
Gujarat,Vadodara,CinemarcVip,Gujarati,11:55,Premium,70₹,13,0
Gujarat,Vadodara,CinemarcVip,Gujarati,11:55,Silver,80₹,87,0
Gujarat,Vadodara,CinemarcVip,Gujarati,11:55,Gold,80₹,20,0
Gujarat,Vadodara,CinemarcVip,Gujarati,11:55,Sofa,100₹,19,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,12:00,Recliner,350₹,100,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,12:00,Sofa,250₹,100,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,12:00,Platinum,100₹,100,0
Gujarat,Anand,ShaanCinemaAvFortuneMall,Gujarati,12:00,Gold,100₹,100,0
Gujarat,Anand,DiyaCinema100FeetRoad,Gujarati,12:30,Recliner,250₹,100,0
Gujarat,Anand,DiyaCinema100FeetRoad,Gujarati,12:30,Sofa,200₹,100,0
Gujarat,Anand,DiyaCinema100FeetRoad,Gujarati,12:30,Platinum,120₹,100,0
Gujarat,Anand,DiyaCinema100FeetRoad,Gujarati,12:30,Gold,100₹,100,0
Gujarat,Ahmedabad,CityGoldBopal,Gujarati,12:30,Executive,130₹,115,0
Gujarat,Himmatnagar,CinemunchMplexMcr,Gujarati,12:30,Gold,120₹,79,0
Gujarat,Surat,TheFridayCinemaMotaVarachha,Gujarati,13:00,PushBackSeat,150₹,119,0
Gujarat,Surat,TheFridayCinemaMotaVarachha,Gujarati,13:00,Lounger,150₹,119,0
Gujarat,Surendranagar,MahalaxmiMultiplexSurendranagar,Gujarati,13:00,Platinum,300₹,11,0
Gujarat,Surendranagar,MahalaxmiMultiplexSurendranagar,Gujarati,13:00,Gold,200₹,64,0
Gujarat,Surendranagar,MahalaxmiMultiplexSurendranagar,Gujarati,13:00,Silver,100₹,105,0
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,14:00,Platinum,180₹,54,0
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,14:00,Gold,150₹,33,0
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,14:00,Silver,120₹,11,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,14:00,UpperSliderSofa,200₹,25,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,14:00,MiddleSliderSofa,150₹,22,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,14:00,Lounger,100₹,7,0
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,14:00,Platinum,300₹,96,10
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,14:00,Gold,100₹,96,10
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,14:00,Silver,100₹,96,10
Gujarat,Vadodara,BansalMovieplexTarsali,Gujarati,14:15,Recliner,250₹,11,0
Gujarat,Vadodara,BansalMovieplexTarsali,Gujarati,14:15,Platinum,90₹,80,0
Gujarat,Vadodara,BansalMovieplexTarsali,Gujarati,14:15,Gold,90₹,64,0
Gujarat,Vadodara,BansalMovieplexTarsali,Gujarati,14:15,Silver,90₹,16,0
Gujarat,Ahmedabad,CityGoldBopal,Gujarati,14:45,Executive,130₹,115,0
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,15:30,FamilySofa1Admit,250₹,12,0
Gujarat,Patan,SaneliteCinemasPatan,Gujarati,15:30,FamilyLounger2Admit,500₹,15,0
Gujarat,Himmatnagar,NewStarCityMultiplexMotipura,Gujarati,16:00,Platinum,200₹,26,0
Gujarat,Himmatnagar,NewStarCityMultiplexMotipura,Gujarati,16:00,Gold,150₹,182,0
Gujarat,Himmatnagar,NewStarCityMultiplexMotipura,Gujarati,16:00,Silver,100₹,60,0
Gujarat,Surat,TheFridayCinemaMotaVarachha,Gujarati,16:00,PushBackSeat,190₹,119,0
Gujarat,Surat,TheFridayCinemaMotaVarachha,Gujarati,16:00,Lounger,190₹,119,0
Gujarat,Surendranagar,MahalaxmiMultiplexSurendranagar,Gujarati,16:00,Platinum,300₹,11,0
Gujarat,Surendranagar,MahalaxmiMultiplexSurendranagar,Gujarati,16:00,Gold,200₹,64,0
Gujarat,Surendranagar,MahalaxmiMultiplexSurendranagar,Gujarati,16:00,Silver,100₹,105,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,16:30,Premier,80₹,15,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,16:30,Silver,90₹,72,0
Gujarat,Vadodara,CinemarcAkota,Gujarati,16:30,Sofa,100₹,38,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,16:30,UpperSliderSofa,200₹,25,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,16:30,MiddleSliderSofa,150₹,22,0
Gujarat,Gandhinagar,SaneliteCinemasGandhinagar,Gujarati,16:30,Lounger,100₹,7,0
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,16:35,Platinum,300₹,96,10
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,16:35,Gold,100₹,96,10
Gujarat,Ahmedabad,CineworldVishalaEmpireNaroda,Gujarati,16:35,Silver,100₹,96,10
Gujarat,Vadodara,CinemarcVip,Gujarati,16:50,Premium,80₹,13,0
Gujarat,Vadodara,CinemarcVip,Gujarati,16:50,Silver,100₹,87,0
Gujarat,Vadodara,CinemarcVip,Gujarati,16:50,Gold,100₹,20,0
