State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
TamilNadu,Ammaiyarkuppam,BabuCinemaACDts2KAmmaiyarkuppam,Tamil,07:20,FirstClass,120₹,36,0
TamilNadu,Ammaiyarkuppam,BabuCinemaACDts2KAmmaiyarkuppam,Tamil,07:20,SecondClass,100₹,328,0
TamilNadu,Chennai,SriVenkateswaraTalkiesACDolby71Thiruvallur,Tamil,10:15,First,60₹,172,27
TamilNadu,Coimbatore,CinepolisFunCinemaRepublicMallPeelamedu,Tamil,11:35,Executive,152₹,142,16
TamilNadu,Coimbatore,CinepolisFunCinemaRepublicMallPeelamedu,Tamil,11:35,Normal,60₹,17,2
TamilNadu,Chennai,SriVenkateswaraTalkiesACDolby71Thiruvallur,Tamil,14:00,First,60₹,172,20
TamilNadu,Kanchipuram,ArunaComplexKanchipuram,Tamil,14:30,Platinum,120₹,63,63
TamilNadu,Kanchipuram,ArunaComplexKanchipuram,Tamil,14:30,Diamond,120₹,206,0
TamilNadu,Chennai,PvrAmpaSkywalkMallAminjikarai,Tamil,14:35,Classic,60₹,17,17
TamilNadu,Chennai,PvrAmpaSkywalkMallAminjikarai,Tamil,14:35,Prime,190₹,118,4
TamilNadu,Chennai,PvrGrandGaladaMallPallavaram,Tamil,14:55,Classic,60₹,28,28
TamilNadu,Chennai,PvrGrandGaladaMallPallavaram,Tamil,14:55,Prime,179₹,152,37
TamilNadu,Chennai,PvrHeritageRslEcrChennai,Tamil,14:55,Classic,60₹,15,0
TamilNadu,Chennai,PvrHeritageRslEcrChennai,Tamil,14:55,Prime,179₹,118,7
TamilNadu,Coimbatore,SpiTheCinemaBrookefieldsMall,Tamil,15:10,Elite,190₹,165,110
TamilNadu,Coimbatore,SpiTheCinemaBrookefieldsMall,Tamil,15:10,Budget,60₹,19,16
TamilNadu,Chennai,PvrVrMallAnnaNagar,Tamil,15:40,Classic,60₹,11,11
TamilNadu,Chennai,PvrVrMallAnnaNagar,Tamil,15:40,Prime,179₹,102,76
TamilNadu,Chennai,SriVenkateswaraTalkiesACDolby71Thiruvallur,Tamil,18:15,First,60₹,172,77
TamilNadu,Chennai,PvrSklsGalaxyMallRedHillsChennai,Tamil,21:40,Classic,60₹,16,16
TamilNadu,Chennai,PvrSklsGalaxyMallRedHillsChennai,Tamil,21:40,Prime,179₹,81,25
TamilNadu,Chennai,CinepolisBsrMallOmrThoraipakkam,Tamil,22:50,Normal,60₹,16,15
TamilNadu,Chennai,CinepolisBsrMallOmrThoraipakkam,Tamil,22:50,Executive,152₹,153,151
